      1      1   3943    2.0872      191 191   1 190   3 188      0.0000
  2112    0.000    0.000     24.9823  0.940     6.16     3.32     0.20     0.20
  2212    0.000    0.000    -24.9823  0.940    -6.93    -1.22    -0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -7.29    -1.16    -0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -6.10     0.44    -0.20     0.20
  2212    0.000    0.000    -24.9823  0.940    -8.69     2.36    -0.20     0.20
  2112    0.000    0.000    -24.9823  0.940     0.24    -7.57    -0.20     0.20
  2212    0.000    0.000    -24.9823  0.940    -6.89     0.65    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     6.28     4.33     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     4.24    -3.77     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -7.00    -3.34    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     7.45     3.18     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -1.41     7.48    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     2.48    -5.79     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     4.93     4.19     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     5.60     4.44     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     2.00    -6.13     0.20     0.20
  2212    0.000    0.000    -24.9823  0.940     0.92     5.52    -0.20     0.20
  2212    0.000    0.000    -24.9823  0.940     8.25     0.62    -0.20     0.20
  2212    0.000    0.000     24.9823  0.940     6.20    -3.77     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -8.41    -0.08    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     7.25    -2.22     0.20     0.20
  2212    0.000    0.000    -24.9823  0.940    -5.83     4.07    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     5.45    -6.35     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -7.61    -0.24    -0.20     0.20
  2212    0.000    0.000     24.9823  0.940     4.64     4.74     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     4.17     4.86     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -1.89     7.47    -0.20     0.20
   111    0.065    0.375     -0.1259  0.135     3.73     9.71     8.52    26.60
  2212    0.000    0.000     24.9823  0.940     5.56    -5.36     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     5.24     5.21     0.20     0.20
  2112    0.000    0.000     24.9823  0.940     6.73    -1.79     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -7.04    -0.10    -0.20     0.20
  2112    0.000    0.000     24.9823  0.940     4.64     4.92     0.20     0.20
  2112    0.000    0.000    -24.9823  0.940    -4.57    -5.35    -0.20     0.20
    22   -0.012    0.045     -0.0017  0.000    -4.74     0.49    -0.03     0.80
    22   -0.074   -0.017     -0.0111  0.000     2.68     7.77    -0.11     0.80
    22   -0.269   -0.081     -0.1320  0.000     0.71    -3.48    -0.34     0.80
    22    0.148    0.167     -0.1092  0.000    -0.02     2.45    -0.35     0.80
    22   -0.245    0.632      0.3660  0.000    -3.09     0.04     0.38     0.80
    22    0.087    0.107     -0.0811  0.000     1.14     4.80    -0.51     1.00
    22   -0.405   -0.289      0.3819  0.000    -1.30    -5.54     0.61     1.00
