       1       0   11649    0.6476    0  207    1  203
    -1    0.071    0.047      0.114  0.010     5.31     1.84     0.32     0.77
     2    0.819   -0.828      2.773  0.006     6.72    -0.31     5.13     6.16
    -2   -0.004   -0.204     -0.117  0.006     0.34    -4.90    -1.07     2.78
     1    0.026   -0.484     -0.185  0.010     0.47    -3.58    -1.54     6.93
     2    0.158    0.146      0.372  0.006     4.96     3.41     1.30     2.53
    -2    0.444   -0.713      0.138  0.006     3.77     1.97     0.35     2.38
     2   -0.047    0.138     -0.037  0.006     0.97     3.39    -7.96    12.01
    -1    0.054    0.073     -0.174  0.010     6.36     1.75    -4.68     6.59
     1    1.782   -2.990     -0.851  0.010    -0.32   -10.05    -1.38     7.53
    -3   -0.408    0.328     -0.203  0.199    -7.63    -1.17    -0.88     5.80
    -1    0.417   -0.480      0.708  0.010     0.14     0.42     3.74     5.67
     2    0.540   -0.173     -0.777  0.006     1.84    -0.61    -4.33     7.34
     2    2.357    0.808     -0.566  0.006     3.27    -0.36    -0.54     3.87
    -3    0.061    0.205     -0.331  0.199     2.37     1.69    -0.67     6.90
    -1   -0.427   -0.491      0.231  0.010    -5.79     0.47     1.77     3.69
     1   -2.010   -0.768      0.222  0.010    -4.07     1.38     0.08     1.27
     1   -0.408    0.078      0.663  0.010    -3.41     0.33    13.60    14.98
    -1   -0.091   -0.321      0.187  0.010    -2.48    -3.19     1.86     4.02
     1   -0.928   -0.017      0.251  0.010    -1.92     0.12     0.30     4.45
     1   -0.432    0.773      2.029  0.010    -0.27     5.53    10.27    12.46
     1   -0.166   -0.055     -0.502  0.010     0.30     3.27    -4.77     8.65
    -3   -0.073    0.198     -0.355  0.199     2.46     6.01    -5.95     7.28
    -2    0.222    0.221      0.232  0.006     3.23     2.78     3.54     6.66
    -1    0.832   -0.016      0.372  0.010     2.02     4.53     0.00     0.06
    -3    0.051   -0.452      0.028  0.199    -4.96    -2.66    -0.13     2.52
     2   -1.078   -0.549     -0.565  0.006    -4.43    -2.14    -0.47     1.84
    -1    0.044    0.269      0.477  0.010    -2.06     2.07     5.93     7.19
     1   -0.310   -0.549      0.217  0.010    -2.61     1.78    -0.24     3.13
     3    0.421   -0.058     -0.402  0.199     4.01    -0.83    -4.83     7.89
    -1    0.273   -0.289      0.050  0.010     4.00    -1.49     1.47     6.61
    -1    0.039    0.132     -0.073  0.010     2.92    20.21   -20.31    28.70
    -2   -0.027    0.232      0.289  0.006    -0.32     5.36     0.50     1.81
    -2   -0.015   -0.005      0.184  0.006    -0.43     1.99    16.21    17.48
     1   -0.052    0.066     -0.061  0.010    -1.47    -5.51     2.25     4.07
    -1    1.197   -0.573      1.341  0.010     1.06    -3.91     0.43     0.96
     1    0.509    0.623     -1.612  0.010     5.84     2.75    -3.14     3.64
    -1    0.018    0.611     -0.347  0.010     4.41     4.29    -0.86     2.55
    -2    0.804    0.833     -0.066  0.006     9.63     9.13     0.21     9.53
     2   -0.077    0.223     -0.336  0.006     4.78     4.24    -1.94     4.00
    -1    0.165    0.147      0.441  0.010    -0.02     0.58     5.37     6.77
    -1    0.336   -0.051      0.285  0.010     3.27    -1.42     2.35     4.71
    -1   -0.172   -0.573      0.636  0.010     0.51    -7.59     9.13    12.27
    -2   -1.051    0.469      0.419  0.006    -5.01     2.44     0.06     2.18
     1    0.003    0.056      0.011  0.010    -9.09    16.03    -4.88    20.67
     2    0.511   -0.262      1.495  0.006     5.03    -0.80     3.72     4.79
     1    0.406   -0.328      0.258  0.010     3.87    -1.34    -0.02     0.43
     3   -0.002   -0.469     -0.344  0.199     1.38    -1.91    -0.34     4.37
     3   -0.941    1.366     -0.002  0.199    -1.08     6.41    -0.22     1.13
    -2   -0.322    0.731     -0.474  0.006    -0.22     5.85    -0.02     0.08
    -2    0.047   -0.231      0.099  0.006     1.02    -1.59     1.41     6.75
     1   -0.005   -0.152      0.348  0.010     0.96    -7.31     3.45     5.55
     3    1.001    0.404      2.099  0.199     2.61     1.23     2.85     4.25
    -2    0.167    0.786      0.616  0.006    -0.28     1.97     4.28     6.21
     1    0.416    0.850      0.496  0.010     1.79     4.24     0.05     3.16
    -1    0.113    0.007      0.007  0.010     5.60     6.39    -2.73     7.97
    -2   -0.112    0.315     -0.078  0.006    -1.30     7.69    -0.68     4.09
     1   -0.151    0.033     -0.140  0.010     0.25     5.08    -1.69     3.04
    -2   -0.765    0.096     -0.648  0.006    -5.14     3.60    -0.25     0.37
     1   -2.138   -0.220     -1.767  0.010    -5.15     3.62    -0.23     0.36
    -3   -0.190   -0.136     -0.036  0.199    -5.33     1.94    -0.11     3.04
     2   -0.117    0.115      0.630  0.006    -3.23     3.50     8.75    11.11
     1   -0.021   -0.203     -0.081  0.010    -1.00    -3.17    -1.98     6.71
    -3    0.176    0.475      0.025  0.199     1.97     1.06     0.14     6.15
     3    0.238    0.301     -0.404  0.199     2.91     4.14    -1.03     2.42
    -2    0.249   -0.086      0.012  0.006     4.34     3.13     0.78     4.06
    -3    0.434    1.676     -0.146  0.199     4.45     3.69     0.00     0.08
     2    0.024    0.005     -0.025  0.006    -0.71     7.65    -2.40     8.67
     2   -0.157   -1.260     -0.346  0.006     6.87    -4.48    -1.16     3.22
    -2    0.414   -0.947      0.077  0.006     7.25    -2.13     0.18     0.68
     1    0.435   -0.055      0.436  0.010     7.59     1.97     3.96     9.30
     1    0.086   -0.032      0.144  0.010     4.37    -1.22     2.35     4.67
     1    0.117    0.072     -0.067  0.010     6.71     1.59    -0.04     6.03
    -2    0.168   -0.468     -0.454  0.006    -2.23    -4.70    -0.88     2.60
